question,answer
способны ли люди жить в мире?,да но не надо
а как правильно к девушке приставать ну чтобы наверняка?,а ты что
как узнать что такое любовь?,это любовь и отпустить
часто ли вы думаете о любви?,нет не знаю но не знаю как это назвать
как удивить друзей на свой день рождения на природе?,позвать на природу
почему тебя не останавливает наличие у любимого жены?,потому что не бывшая
вы хотите чтобы лето быстрее пришла?,я не люблю
если от работы даже кони дохнут то почему вы все еще работаете?,я не знаю что это
где найти свободного адекватного мужчину для создания семьи?,у каждого своя
что для тебя роскошь и как ты считаешь ты в роскоши живешь?,я не знаю и то и не верить
рэй брэдбери стоит ли читать?,нет не надо
сколько у вас стоят домашние куриные яйца у нас 120 а у вас?,у меня у меня у меня ещё у всех разные
любовь это удовольствие или работа?,это любовь
